employee_id,date,first_name,last_name,gender,dob,headcount_flag,leavers_flag,termination_date,joiners_flag,voluntary_leavers_flag,involuntary_leavers_flag,department,work_location_country,work_location_city,seniority_level,performance_rating,behaviour_rating,ethnicity
80-8559512,9/19/2019,Wilona,Highnam,Female,8/7/1971,1,0,,1,0,0,Accounting,Russia,Dno,2,Meets Expectations,Unacceptable,Indian
02-8877831,6/30/2019,Corissa,Prestland,Female,4/25/1972,1,0,,1,0,0,Services,Albania,Frakulla e Madhe,2,Exceeds Expectations,Meets Expectations,Pakistani
35-5477116,7/28/2019,Austine,Rathborne,Female,12/15/1965,1,0,,0,0,0,Research and Development,Russia,Shali,6,Unacceptable,Needs Improvement,Bangladeshi
44-2557065,3/7/2020,Caroline,Jess,Female,6/4/1970,1,0,,1,0,0,Legal,Portugal,Lagoa,9,Unacceptable,Unacceptable,Chinese
92-1910801,12/31/2021,Karia,Farnell,Male,12/8/1959,1,1,9/12/2021,0,1,0,Engineering,China,Yanghou,10,Unacceptable,Outstanding,African
48-5166367,3/28/2022,Harley,Slocumb,Female,5/27/1976,1,0,,0,0,0,Business Development,Libya,Sulūq,5,Exceeds Expectations,Outstanding,Caribbean
89-7085284,1/25/2021,Jen,Langdridge,Male,8/7/1977,1,0,,1,0,0,Engineering,Indonesia,Delod Pangkung,8,Exceeds Expectations,Needs Improvement,White
72-5764917,12/10/2021,Dominick,Gouldeby,Male,8/24/1964,1,0,,0,0,0,Accounting,Myanmar,Meiktila,10,Exceeds Expectations,Meets Expectations,Arab
64-3873882,9/8/2022,Danette,Wynch,Female,11/4/1961,1,0,,0,0,0,Services,Russia,Petushki,8,Outstanding,Meets Expectations,Irish
48-6827091,5/31/2020,Mallorie,Akess,Female,5/22/1972,1,0,,1,0,0,Services,Madagascar,Moramanga,8,Exceeds Expectations,Meets Expectations,African
52-3592838,9/27/2019,Sammie,Capey,Male,1/9/1982,1,0,,0,0,0,Sales,Philippines,Ualog,7,Unacceptable,Needs Improvement,Arab
34-8879509,6/26/2019,Sarge,Cuchey,Male,7/22/1950,1,0,,0,0,0,Business Development,Indonesia,Lancang,4,Meets Expectations,Exceeds Expectations,Indian
89-4696896,9/8/2021,Dion,Bothams,Male,8/15/1956,1,1,3/6/2022,1,1,0,Business Development,Indonesia,Grujugan,7,Needs Improvement,Exceeds Expectations,Bangladeshi
45-5246962,12/25/2020,Shandee,Henryson,Female,8/25/1959,1,0,,0,0,0,Product Management,Russia,Starobelokurikha,9,Meets Expectations,Unacceptable,African
02-5074896,2/7/2022,Rriocard,Napper,Non-binary,3/27/1970,1,0,,1,0,0,Services,China,Jinhe,1,Exceeds Expectations,Meets Expectations,White
08-8734875,5/24/2021,Homerus,Chandlar,Male,10/15/1966,1,0,,1,0,0,Training,Portugal,Arcena Pequena,10,Needs Improvement,Needs Improvement,White 
62-2952344,7/1/2020,Gary,Hedman,Male,4/30/1955,1,1,10/31/2021,0,1,0,Research and Development,Portugal,Vale de Açores,5,Needs Improvement,Exceeds Expectations,White
64-5667141,1/9/2020,Alena,Curness,Female,10/25/1958,1,0,,1,0,0,Legal,Indonesia,Cinyawang,5,Outstanding,Outstanding,Chinese
68-7913119,4/1/2022,Jory,Bear,Female,5/28/1962,1,0,,0,0,0,Business Development,China,Lanling,10,Exceeds Expectations,Exceeds Expectations,Pakistani
25-4912269,4/5/2019,Nikaniki,Annion,Female,6/27/1964,1,0,,0,0,0,Human Resources,Indonesia,Ngujung,10,Exceeds Expectations,Outstanding,White
